county_name,median_household_income,median_gross_rent,rent_to_income_ratio,rent_affordability_gap,renter_cost_burden_rate,severely_rent_burdened_rate
Essex County,101883,1756,0.20682547628161715,-791.0749999999998,0.5391526476480417,0.2843783079197614
Barnstable County,95241,1678,0.2114215516426749,-703.0250000000001,0.536905713144227,0.28415900918897324
Franklin County,74907,1177,0.1885538067203332,-695.675,0.5313461334464835,0.2660443407234539
Hampshire County,87001,1388,0.19144607533246746,-787.0249999999996,0.523002300230023,0.26142614261426145
Plymouth County,114201,1747,0.18357107205716236,-1108.025,0.512314187703404,0.26167648869733484
Nantucket County,139688,2213,0.19010938663306798,-1279.1999999999998,0.5101214574898786,0.16059379217273953
Hampden County,71306,1136,0.19117605811572658,-646.6500000000001,0.5024608629521746,0.25898609576559384
Berkshire County,76013,1097,0.1731809032665465,-803.325,0.4963630065812262,0.2226070892506639
Suffolk County,95631,2129,0.2671518649810208,-261.7750000000001,0.4943752646368221,0.24771450017321683
Bristol County,85625,1245,0.1744817518248175,-895.625,0.49411404463799674,0.2538786064235166
Norfolk County,130739,2149,0.19724795202655673,-1119.475,0.4843714711594923,0.25202131984281134
Worcester County,95939,1426,0.17836333503580398,-972.4749999999999,0.4787746932381864,0.23622835262379252
Middlesex County,130847,2201,0.2018540738419681,-1070.1749999999997,0.4493482035854917,0.22072622920080548
Dukes County,125786,1277,0.1218259583737459,-1867.6499999999996,0.3620309050772627,0.09197939661515821
