county_name,state,county,population,total_households,median_household_income,monthly_median_income,affordable_monthly_housing_cost,median_home_value,median_gross_rent,home_value_to_income_ratio,rent_to_income_ratio,rent_affordability_gap,owner_occupied_share,renter_occupied_share,vacancy_rate,owner_cost_burden_rate,renter_cost_burden_rate,severely_rent_burdened_rate,affordability_pressure,estimated_monthly_principal_interest,estimated_monthly_owner_cost,owner_affordability_gap,estimated_owner_cost_to_income_ratio,owner_affordability_class
Barnstable County,25,001,231668,105777,95241,7936.75,2381.025,629000,1678,6.604298568893649,0.2114215516426749,-703.0250000000001,0.8106960870510602,0.18930391294893975,0.36361339229311435,0.17045467797045002,0.536905713144227,0.28415900918897324,High Pressure,3180.5662942166014,3907.149627549935,1526.1246275499348,0.49228583835322204,Severely Unaffordable
Berkshire County,25,003,129430,57585,76013,6334.416666666667,1900.325,305400,1097,4.017733808690619,0.1731809032665465,-803.325,0.6991924980463663,0.30080750195363376,0.1774041483343809,0.20505178451680203,0.4963630065812262,0.2226070892506639,Moderate Pressure,1544.268594998013,1974.218594998013,73.89359499801299,0.3116654143367076,Moderately Unaffordable
Bristol County,25,005,582270,233825,85625,7135.416666666667,2140.625,451200,1245,5.26948905109489,0.1744817518248175,-895.625,0.6228974660536726,0.37710253394632737,0.045709621467197224,0.2366099320970278,0.49411404463799674,0.2538786064235166,High Pressure,2281.5127376002074,2845.1127376002073,704.4877376002073,0.3987311281892261,Highly Unaffordable
Dukes County,25,007,20933,7584,125786,10482.166666666666,3144.6499999999996,1165800,1277,9.268122048558663,0.1218259583737459,-1867.6499999999996,0.8208069620253164,0.17919303797468356,0.5744585343956907,0.15196787148594376,0.3620309050772627,0.09197939661515821,High Pressure,5894.919214304791,7113.569214304791,3968.9192143047912,0.6786353852706779,Severely Unaffordable
Essex County,25,009,813054,313147,101883,8490.25,2547.075,619100,1756,6.0765780355898436,0.20682547628161715,-791.0749999999998,0.6349669643969126,0.36503303560308736,0.050425137062733494,0.24356511330832134,0.5391526476480417,0.2843783079197614,High Pressure,3130.506506755959,3848.014840089292,1300.9398400892924,0.4532275068566052,Severely Unaffordable
Franklin County,25,011,70944,31570,74907,6242.25,1872.675,329000,1177,4.392112886646108,0.1885538067203332,-695.675,0.7013937282229965,0.2986062717770035,0.08566960148285449,0.19807614144424876,0.5313461334464835,0.2660443407234539,High Pressure,1663.6030378334847,2115.186371166818,242.51137116681798,0.3388499933784802,Moderately Unaffordable
Hampden County,25,013,462815,184471,71306,5942.166666666667,1782.65,298800,1136,4.190390710459148,0.19117605811572658,-646.6500000000001,0.6222116213388554,0.37778837866114456,0.06639978541532762,0.2153423941453215,0.5024608629521746,0.25898609576559384,High Pressure,1510.8954033575842,1934.7954033575843,152.1454033575842,0.3256043648541639,Moderately Unaffordable
Hampshire County,25,015,162028,62114,87001,7250.083333333333,2175.0249999999996,390300,1388,4.486155331547914,0.19144607533246746,-787.0249999999996,0.6780435972566571,0.32195640274334286,0.06995478094211362,0.23330800645835312,0.523002300230023,0.26142614261426145,High Pressure,1973.569196554435,2481.344196554435,306.31919655443517,0.342250438025462,Moderately Unaffordable
Middlesex County,25,017,1638365,634215,130847,10903.916666666666,3271.1749999999997,727800,2201,5.562221525904301,0.2018540738419681,-1070.1749999999997,0.6131879567654502,0.3868120432345498,0.04524084441948795,0.23490523100184368,0.4493482035854917,0.22072622920080548,High Pressure,3680.152859985442,4497.3028599854415,1226.1278599854418,0.41244838872748557,Highly Unaffordable
Nantucket County,25,019,14483,5252,139688,11640.666666666666,3492.2,1593800,2213,11.409713074852528,0.19010938663306798,-1279.1999999999998,0.7178217821782178,0.28217821782178215,0.5829760203271399,0.18143236074270558,0.5101214574898786,0.16059379217273953,High Pressure,8059.120126744705,9670.103460078039,6177.903460078039,0.8307173237567755,Severely Unaffordable
Norfolk County,25,021,730082,283368,130739,10894.916666666666,3268.475,683900,2149,5.231032821116882,0.19724795202655673,-1119.475,0.6874876485700573,0.3125123514299427,0.04016909022548751,0.2275116522596144,0.4843714711594923,0.25202131984281134,High Pressure,3458.1705701347123,4235.078903468046,966.6039034680457,0.38872063302929155,Highly Unaffordable
Plymouth County,25,023,535075,203141,114201,9516.75,2855.025,556000,1747,4.868608856314744,0.18357107205716236,-1108.025,0.7761357874579725,0.22386421254202746,0.06857072115031912,0.24118225351219358,0.512314187703404,0.26167648869733484,High Pressure,2811.4385684967096,3471.105235163376,616.0802351633761,0.3647364105564795,Highly Unaffordable
Suffolk County,25,025,785121,327167,95631,7969.25,2390.775,705800,2129,7.380451945498844,0.2671518649810208,-261.7750000000001,0.3647525575623458,0.6352474424376542,0.08430966441825968,0.20963673691708215,0.4943752646368221,0.24771450017321683,High Pressure,3568.9088878506795,4365.892221184013,1975.1172211840126,0.5478422964750777,Severely Unaffordable
Worcester County,25,027,867788,335826,95939,7994.916666666667,2398.475,423700,1426,4.416347887720322,0.17836333503580398,-972.4749999999999,0.6578287565584559,0.34217124344154415,0.05450399087799316,0.24526969526878994,0.4787746932381864,0.23622835262379252,Moderate Pressure,2142.457772431755,2680.8494390984215,282.3744390984216,0.33531924732570756,Moderately Unaffordable
