county_name,scenario_interest_rate,scenario_monthly_owner_cost,scenario_owner_cost_to_income_ratio,scenario_owner_affordability_gap
Barnstable County,0.055,3583.69758811144,0.4515321243722481,1202.6725881114398
Berkshire County,0.055,1817.1720880909918,0.2868728382920277,-83.15291190900825
Bristol County,0.055,2613.0911792621328,0.36621423826155436,472.46617926213275
Dukes County,0.055,6514.077342162665,0.6214437863192406,3369.427342162666
Essex County,0.055,3529.6536992047572,0.41573024342095427,982.5786992047574
Franklin County,0.055,1946.0039848786384,0.3117472041136831,73.3289848786385
Hampden County,0.055,1781.14282881987,0.2997463599954904,-1.5071711801301717
Hampshire County,0.055,2280.6393778058746,0.3145673329464086,105.61437780587494
Middlesex County,0.055,4123.044681442776,0.37812510930562654,851.8696814427763
Nantucket County,0.055,8850.520216108127,0.7603104246126906,5358.320216108127
Norfolk County,0.055,3883.3955175030424,0.3564410482720268,614.9205175030424
Plymouth County,0.055,3185.1921446581246,0.3346932665729503,330.16714465812447
Suffolk County,0.055,4002.9471505390366,0.5022991060060905,1612.1721505390365
Worcester County,0.055,2462.9692656324596,0.3080669090525179,64.4942656324597
Barnstable County,0.065,3907.149627549935,0.49228583835322204,1526.1246275499348
Berkshire County,0.065,1974.218594998013,0.3116654143367076,73.89359499801299
Bristol County,0.065,2845.1127376002073,0.3987311281892261,704.4877376002073
Dukes County,0.065,7113.569214304791,0.6786353852706779,3968.9192143047912
Essex County,0.065,3848.014840089292,0.4532275068566052,1300.9398400892924
Franklin County,0.065,2115.186371166818,0.3388499933784802,242.51137116681798
Hampden County,0.065,1934.7954033575843,0.3256043648541639,152.1454033575842
Hampshire County,0.065,2481.344196554435,0.342250438025462,306.31919655443517
Middlesex County,0.065,4497.3028599854415,0.41244838872748557,1226.1278599854418
Nantucket County,0.065,9670.103460078039,0.8307173237567755,6177.903460078039
Norfolk County,0.065,4235.078903468046,0.38872063302929155,966.6039034680457
Plymouth County,0.065,3471.105235163376,0.3647364105564795,616.0802351633761
Suffolk County,0.065,4365.892221184013,0.5478422964750777,1975.1172211840126
Worcester County,0.065,2680.8494390984215,0.33531924732570756,282.3744390984216
Barnstable County,0.075,4245.030740370905,0.53485756013115,1864.0057403709047
Berkshire County,0.075,2138.270887296144,0.33756397784002373,237.94588729614384
Bristol County,0.075,3087.484690072102,0.4326985843020756,946.8596900721018
Dukes County,0.075,7739.804192566614,0.7383782798626188,4595.154192566614
Essex County,0.075,4180.577951293524,0.4923975090596301,1633.5029512935243
Franklin County,0.075,2291.915919844241,0.3671618278416022,419.24091984424126
Hampden County,0.075,2095.302361244557,0.35261588554868706,312.6523612445567
Hampshire County,0.075,2691.0023815051895,0.3711684759722564,515.9773815051899
Middlesex County,0.075,4888.256554597686,0.4483028166879809,1617.0815545976861
Nantucket County,0.075,10526.248003184655,0.9042650480944381,7034.0480031846555
Norfolk County,0.075,4602.450752527284,0.42244019787766013,1333.975752527284
Plymouth County,0.075,3769.7728007094165,0.3961197678524093,914.7478007094164
Suffolk County,0.075,4745.028134425731,0.5954171514792146,2354.253134425731
Worcester County,0.075,2908.4491648571575,0.3637873021220347,509.9741648571576
Barnstable County,0.085,4595.7559827297,0.5790475928723596,2214.7309827297
Berkshire County,0.085,2308.559423093244,0.36444704296789926,408.2344230932438
Bristol County,0.085,3339.0701103460106,0.4679572709390029,1198.4451103460106
Dukes County,0.085,8389.84471330093,0.8003922261588028,5245.194713300931
Essex County,0.085,4525.783034829821,0.5330565100944992,1978.7080348298214
Franklin County,0.085,2475.3636221272995,0.3965499014181264,602.6886221272996
Hampden County,0.085,2261.9107911599913,0.38065421554876017,479.2607911599912
Hampshire County,0.085,2908.6304611437236,0.40118579710261587,733.6054611437239
Middlesex County,0.085,5294.071866821424,0.48552020605636426,2022.8968668214243
Nantucket County,0.085,11414.937814427023,0.9806085975396904,7922.737814427023
Norfolk County,0.085,4983.78778471994,0.4574415699725352,1715.3127847199398
Plymouth County,0.085,4079.793841649783,0.42869612437542054,1224.768841649783
Suffolk County,0.085,5138.576427043916,0.6448005053228241,2747.8014270439157
Worcester County,0.085,3144.7008106241237,0.39333753455309606,746.2258106241238
